2.000000000000000042e-02,-1.874642355653500090e+03,1.908566736349839914e+02,-2.065499029288479960e+03
2.999999999999999889e-02,-1.236437200998250091e+03,1.665209021443110089e+02,-1.402958103142560049e+03
5.000000000000000278e-02,-6.889272973114619845e+02,1.303318732756690110e+02,-8.192591705871310523e+02
7.499999999999999722e-02,-3.961040855974929968e+02,9.607149528689430440e+01,-4.921755808843869886e+02
1.000000000000000056e-01,-2.427684446682590078e+02,6.901785982254989449e+01,-3.117863044908090160e+02
2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-01,8.773621934754770280e+01,-3.736537810847330121e+01,1.251015974560209969e+02
4.000000000000000222e-01,1.347378622412990126e+02,-6.059825009324419653e+01,1.953361123345430030e+02
5.000000000000000000e-01,1.645016646317870084e+02,-7.649773672184460338e+01,2.409994013536320097e+02
1.000000000000000000e+00,2.307344248525049863e+02,-1.141573360609820043e+02,3.448917609134870190e+02
2.000000000000000000e+00,2.717577391731800276e+02,-1.369900681237079993e+02,4.087478072968870038e+02
5.000000000000000000e+00,3.061276698423270091e+02,-1.510476977977540116e+02,4.571753676400809923e+02
1.000000000000000000e+01,3.235437681071809948e+02,-1.546924835004620036e+02,4.782362516076429984e+02
